time,load
1/1/16 0:59,86
1/1/16 1:59,84.1
1/1/16 2:59,75.9
1/1/16 3:59,75.8
1/1/16 4:59,79.5
1/1/16 5:59,92.2
1/1/16 6:59,90.7
1/1/16 7:59,86.8
1/1/16 8:59,45.3
1/1/16 9:59,40.8
1/1/16 10:59,39.2
1/1/16 11:59,40.2
1/1/16 12:59,39.6
1/1/16 13:59,40.3
1/1/16 14:59,38.8
1/1/16 15:59,41.2
1/1/16 16:59,50
1/1/16 17:59,88.2
1/1/16 18:59,91.2
1/1/16 19:59,95.9
1/1/16 20:59,95.5
1/1/16 21:59,93.5
1/1/16 22:59,90.8
1/1/16 23:59,90.4
1/2/16 0:59,82.2
1/2/16 1:59,79.4
1/2/16 2:59,81.1
1/2/16 3:59,82.8
1/2/16 4:59,83.8
1/2/16 5:59,86.1
1/2/16 6:59,87.7
1/2/16 7:59,84.5
1/2/16 8:59,46.4
1/2/16 9:59,39.5
1/2/16 10:59,40
1/2/16 11:59,39.2
1/2/16 12:59,40
1/2/16 13:59,36.7
1/2/16 14:59,37.8
1/2/16 15:59,41.6
1/2/16 16:59,57.1
1/2/16 17:59,88
1/2/16 18:59,96.6
1/2/16 19:59,97.2
1/2/16 20:59,95.6
1/2/16 21:59,85.5
1/2/16 22:59,89.7
1/2/16 23:59,88.6
1/3/16 0:59,86.1
1/3/16 1:59,82.3
1/3/16 2:59,82.7
1/3/16 3:59,87.7
1/3/16 4:59,86.8
1/3/16 5:59,92.8
1/3/16 6:59,89.2
1/3/16 7:59,88.5
1/3/16 8:59,84.8
1/3/16 9:59,79.8
1/3/16 10:59,74.6
1/3/16 11:59,85.2
1/3/16 12:59,81.6
1/3/16 13:59,84.7
1/3/16 14:59,86.6
1/3/16 15:59,87.6
1/3/16 16:59,85.7
1/3/16 17:59,84.8
1/3/16 18:59,86.9
1/3/16 19:59,87.3
1/3/16 20:59,88.2
1/3/16 21:59,84.4
1/3/16 22:59,85.3
1/3/16 23:59,83.7
1/4/16 0:59,84.9
1/4/16 1:59,83.3
1/4/16 2:59,74.6
1/4/16 3:59,75.6
1/4/16 4:59,77.6
1/4/16 5:59,80.5
1/4/16 6:59,82
1/4/16 7:59,80.9
1/4/16 8:59,46.7
1/4/16 9:59,38.7
1/4/16 10:59,40.4
1/4/16 11:59,42.8
1/4/16 12:59,42.4
1/4/16 13:59,42.1
1/4/16 14:59,41.6
1/4/16 15:59,57.9
1/4/16 16:59,75.3
1/4/16 17:59,87.7
1/4/16 18:59,88.3
1/4/16 19:59,87.4
1/4/16 20:59,86.1
1/4/16 21:59,85.1
1/4/16 22:59,83.3
1/4/16 23:59,80.4
1/5/16 0:59,76.7
1/5/16 1:59,75.7
1/5/16 2:59,84.9
1/5/16 3:59,86.5
1/5/16 4:59,89.4
1/5/16 5:59,92.4
1/5/16 6:59,89.9
1/5/16 7:59,85.1
1/5/16 8:59,87.1
1/5/16 9:59,73.1
1/5/16 10:59,62.6
1/5/16 11:59,63.9
1/5/16 12:59,59.3
1/5/16 13:59,56.4
1/5/16 14:59,60.2
1/5/16 15:59,73.4
1/5/16 16:59,95.3
1/5/16 17:59,93.3
1/5/16 18:59,97.5
1/5/16 19:59,93
1/5/16 20:59,92.3
1/5/16 21:59,90.3
1/5/16 22:59,89.8
1/5/16 23:59,88.7
1/6/16 0:59,88.2
1/6/16 1:59,85.6
1/6/16 2:59,87.3
1/6/16 3:59,89.1
1/6/16 4:59,86.7
1/6/16 5:59,93.2
1/6/16 6:59,87
1/6/16 7:59,86.7
1/6/16 8:59,65.9
1/6/16 9:59,51
1/6/16 10:59,53.1
1/6/16 11:59,64.8
1/6/16 12:59,79.9
1/6/16 13:59,79.1
1/6/16 14:59,76
1/6/16 15:59,75
1/6/16 16:59,92.9
1/6/16 17:59,94.6
1/6/16 18:59,97.1
1/6/16 19:59,95.7
1/6/16 20:59,90
1/6/16 21:59,86.7
1/6/16 22:59,85.1
1/6/16 23:59,83.6
1/7/16 0:59,78.3
1/7/16 1:59,78.5
1/7/16 2:59,79
1/7/16 3:59,80.9
1/7/16 4:59,81.6
1/7/16 5:59,85.2
1/7/16 6:59,86.5
1/7/16 7:59,85.8
1/7/16 8:59,89
1/7/16 9:59,79.3
1/7/16 10:59,59.7
1/7/16 11:59,59.6
1/7/16 12:59,54.4
1/7/16 13:59,54.1
1/7/16 14:59,57.5
1/7/16 15:59,68.5
1/7/16 16:59,95
1/7/16 17:59,98.3
1/7/16 18:59,100.5
1/7/16 19:59,96.2
1/7/16 20:59,94
1/7/16 21:59,92.7
1/7/16 22:59,94
1/7/16 23:59,102.3
1/8/16 0:59,100.2
1/8/16 1:59,101.1
1/8/16 2:59,99.1
1/8/16 3:59,105.1
1/8/16 4:59,105.2
1/8/16 5:59,87.2
1/8/16 6:59,103.4
1/8/16 7:59,102.5
1/8/16 8:59,46.4
1/8/16 9:59,43.5
1/8/16 10:59,45
1/8/16 11:59,42.9
1/8/16 12:59,44.8
1/8/16 13:59,41.8
1/8/16 14:59,42.5
1/8/16 15:59,42.5
1/8/16 16:59,70.4
1/8/16 17:59,97.7
1/8/16 18:59,99.2
1/8/16 19:59,99.4
1/8/16 20:59,97
1/8/16 21:59,96.9
1/8/16 22:59,83
1/8/16 23:59,83.1
1/9/16 0:59,80.8
1/9/16 1:59,78.9
1/9/16 2:59,78.4
