utility,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,updated,bill_volume,bill_total_unit
PG&E,G1 T Residential Service,6/1/17,6/16/17,16,6/18/17,,10.21,2017-07-10T17:04:05.820362+00:00,6.93333,therms
PG&E,G1 T Residential Service,5/18/17,5/31/17,14,6/18/17,,8.97,2017-07-10T17:04:05.777145+00:00,6.06667,therms
PG&E,G1 T Residential Service,5/1/17,5/17/17,17,5/18/17,,11.27,2017-07-10T17:04:12.774464+00:00,7.62069,therms
PG&E,G1 T Residential Service,4/19/17,4/30/17,12,5/18/17,,8.09,2017-07-10T17:04:12.725483+00:00,5.37931,therms
PG&E,G1 T Residential Service,4/1/17,4/18/17,18,4/19/17,,12.7,2017-07-10T17:04:19.912442+00:00,8.4375,therms
PG&E,G1 T Residential Service,3/18/17,3/31/17,14,4/19/17,,9.73,2017-07-10T17:04:19.862411+00:00,6.5625,therms
PG&E,G1 T Residential Service,3/1/17,3/17/17,17,3/19/17,,13.44,2017-07-10T17:04:26.970288+00:00,9.06667,therms
PG&E,G1 T Residential Service,2/16/17,2/28/17,13,3/19/17,,10.58,2017-07-10T17:04:26.919302+00:00,6.93333,therms
PG&E,G1 T Residential Service,2/1/17,2/15/17,15,2/16/17,,14.21,2017-07-10T17:04:34.364350+00:00,9.31035,therms
PG&E,G1 T Residential Service,1/18/17,1/31/17,14,2/16/17,,13.36,2017-07-10T17:04:34.309342+00:00,8.68966,therms
PG&E,G1 T Residential Service,1/1/17,1/17/17,17,1/18/17,,20.59,2017-07-10T17:04:41.008903+00:00,13.39394,therms
PG&E,G1 T Residential Service,12/16/16,12/31/16,16,1/18/17,,19.75,2017-07-10T17:04:40.959196+00:00,12.60606,therms
PG&E,G1 T Residential Service,12/1/16,12/15/16,15,12/16/16,,12.54,2017-07-10T17:04:48.063767+00:00,8,therms
PG&E,G1 T Residential Service,11/16/16,11/30/16,15,12/16/16,,13.1,2017-07-10T17:04:48.009257+00:00,8,therms
PG&E,G1 T Residential Service,11/1/16,11/15/16,15,11/17/16,,11.84,2017-07-10T17:04:55.262787+00:00,7.24138,therms
PG&E,G1 T Residential Service,10/18/16,10/31/16,14,11/17/16,,10.54,2017-07-10T17:04:55.216578+00:00,6.75862,therms
PG&E,G1 T Residential Service,10/1/16,10/17/16,17,10/18/16,,11.1,2017-07-10T17:05:02.637817+00:00,7.12903,therms
PG&E,G1 T Residential Service,9/17/16,9/30/16,14,10/18/16,,8.59,2017-07-10T17:05:02.581323+00:00,5.87097,therms
PG&E,G1 T Residential Service,9/1/16,9/16/16,16,9/18/16,,10.91,2017-07-10T17:05:10.019618+00:00,7.46667,therms
PG&E,G1 T Residential Service,8/18/16,8/31/16,14,9/18/16,,9.64,2017-07-10T17:05:09.957472+00:00,6.53333,therms
PG&E,G1 T Residential Service,8/1/16,8/17/16,17,8/18/16,,11.7,2017-07-10T17:05:17.707845+00:00,7.93333,therms
PG&E,G1 T Residential Service,7/19/16,7/31/16,13,8/18/16,,7.72,2017-07-10T17:05:17.651110+00:00,6.06667,therms
PG&E,G1 T Residential Service,7/1/16,7/18/16,18,7/19/16,,11.44,2017-07-10T17:05:24.816774+00:00,9,therms
PG&E,G1 T Residential Service,6/17/16,6/30/16,14,7/19/16,,8.43,2017-07-10T17:05:24.759473+00:00,7,therms
PG&E,G1 T Residential Service,6/1/16,6/16/16,16,6/17/16,,9.64,2017-07-10T17:05:32.062836+00:00,8,therms
PG&E,G1 T Residential Service,5/18/16,5/31/16,14,6/17/16,,8.86,2017-07-10T17:05:32.005731+00:00,7,therms
PG&E,G1 T Residential Service,5/1/16,5/17/16,17,5/18/16,,11.12,2017-07-10T17:05:39.322726+00:00,8.7931,therms
PG&E,G1 T Residential Service,4/19/16,4/30/16,12,5/18/16,,7.65,2017-07-10T17:05:39.265701+00:00,6.2069,therms
PG&E,G1 T Residential Service,4/1/16,4/18/16,18,4/19/16,,13.17,2017-07-10T17:05:46.737356+00:00,10.6875,therms
PG&E,G1 T Residential Service,3/18/16,3/31/16,14,4/19/16,,9.51,2017-07-10T17:05:46.674302+00:00,8.3125,therms
PG&E,G1 T Residential Service,3/1/16,3/17/16,17,3/18/16,,11.41,2017-07-10T17:05:53.522834+00:00,9.96552,therms
PG&E,G1 T Residential Service,2/18/16,2/29/16,12,3/18/16,,10.09,2017-07-10T17:05:53.469724+00:00,7.03448,therms
PG&E,G1 T Residential Service,2/1/16,2/17/16,17,2/18/16,,15.51,2017-07-10T17:06:01.010742+00:00,10.81818,therms
PG&E,G1 T Residential Service,1/16/16,1/31/16,16,2/18/16,,14.24,2017-07-10T17:06:00.949270+00:00,10.18182,therms
PG&E,G1 T Residential Service,1/1/16,1/15/16,15,1/17/16,,14.69,2017-07-10T17:06:08.977798+00:00,10.5,therms
PG&E,G1 T Residential Service,12/17/15,12/31/15,15,1/17/16,,13.98,2017-07-10T17:06:08.924328+00:00,10.5,therms
PG&E,G1 T Residential Service,12/1/15,12/16/15,16,12/17/15,,15.41,2017-07-10T17:06:16.343637+00:00,11.58621,therms
PG&E,G1 T Residential Service,11/18/15,11/30/15,13,12/17/15,,12.42,2017-07-10T17:06:16.283063+00:00,9.41379,therms
PG&E,G1 T Residential Service,11/1/15,11/17/15,17,11/18/15,,13.33,2017-07-10T17:06:23.168859+00:00,10.09375,therms
PG&E,G1 T Residential Service,10/17/15,10/31/15,15,11/18/15,,11.19,2017-07-10T17:06:23.105254+00:00,8.90625,therms
PG&E,G1 T Residential Service,10/1/15,10/16/15,16,10/18/15,,9.71,2017-07-10T17:06:30.091394+00:00,7.72414,therms
PG&E,G1 T Residential Service,9/18/15,9/30/15,13,10/18/15,,7.89,2017-07-10T17:06:30.027692+00:00,6.27586,therms
PG&E,G1 T Residential Service,9/1/15,9/17/15,17,9/18/15,,11.39,2017-07-10T17:06:36.775273+00:00,9.06667,therms
PG&E,G1 T Residential Service,8/19/15,8/31/15,13,9/18/15,,9.29,2017-07-10T17:06:36.712950+00:00,6.93333,therms
PG&E,G1 T Residential Service,8/1/15,8/18/15,18,8/19/15,,13.57,2017-07-10T17:06:43.771165+00:00,10.125,therms
PG&E,G1 T Residential Service,7/18/15,7/31/15,14,8/19/15,,9.88,2017-07-10T17:06:43.704171+00:00,7.875,therms
PG&E,G1 T Residential Service,7/1/15,7/17/15,17,7/19/15,,11.03,2017-07-10T17:06:50.418938+00:00,8.7931,therms
PG&E,G1 T Residential Service,6/19/15,6/30/15,12,7/19/15,,8.3,2017-07-10T17:06:50.354490+00:00,6.2069,therms
