file,interval,type
NA,NA,building1
NA,NA,building1
reading1,hour,building2
reading2,hour,building2
NA,NA,house
NA,NA,house
NA,NA,building3
reading3,bill,building3
NA,NA,building3
NA,NA,house
NA,NA,house
NA,NA,house
NA,NA,house
NA,NA,house
NA,NA,building4
NA,NA,building4
NA,NA,building5
reading4,hour,building5
reading5,hour,building5
NA,NA,house
reading6,hour,building6
reading7,hour,building6
NA,NA,building7
NA,NA,building7
reading8,hour,building7
reading9,hour,building7
NA,NA,building7
reading10,quarter,building7
NA,NA,building7
reading11,hour,building7
reading12,hour,building7
NA,NA,building7
NA,NA,building7
NA,NA,building7
NA,NA,house
NA,NA,house
NA,NA,building8
NA,NA,building8
reading13,hour,building8
reading14,hour,building8
NA,NA,building8
reading15,hour,building8
reading16,hour,building8
reading17,hour,building8
NA,NA,house
NA,NA,house
NA,NA,building9
NA,NA,building9
reading18,hour,house
NA,NA,building10
reading19,quarter,building10
reading20,hour,building11
reading21,hour,building11
reading22,hour,house
reading23,hour,house
reading24,hour,house
NA,NA,house
NA,NA,house
reading25,bill,building12
reading26,bill,building12
NA,NA,building13
NA,NA,building13
NA,NA,building13
