utility,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,updated,interval_timezone
PG&E,E1 TB Residential Service,11/6/17 23:00,11/7/17 0:00,0.34,0.34,2017-11-08T21:22:59.153244+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 22:00,11/6/17 23:00,0.7,0.7,2017-11-08T21:22:59.163503+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 21:00,11/6/17 22:00,0.33,0.33,2017-11-08T21:22:59.144943+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 20:00,11/6/17 21:00,0.25,0.25,2017-11-08T21:22:59.138866+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 19:00,11/6/17 20:00,0.21,0.21,2017-11-08T21:22:59.142917+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 18:00,11/6/17 19:00,0.21,0.21,2017-11-08T21:22:59.139157+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 17:00,11/6/17 18:00,0.55,0.55,2017-11-08T21:22:59.153481+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 16:00,11/6/17 17:00,0.3,0.3,2017-11-08T21:22:59.169294+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 15:00,11/6/17 16:00,0.21,0.21,2017-11-08T21:22:59.164337+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 14:00,11/6/17 15:00,0.21,0.21,2017-11-08T21:22:59.160556+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 13:00,11/6/17 14:00,0.47,0.47,2017-11-08T21:22:59.150282+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 12:00,11/6/17 13:00,0.33,0.33,2017-11-08T21:22:59.157785+00:00,US/Pacific
PG&E,E1 TB Residential Service,11/6/17 11:00,11/6/17 12:00,0.25,0.25,2017-11-08T21:22:59.158282+00:00,US/Pacific
