time,load
1/1/16 0:59,60.7
1/1/16 1:59,60.8
1/1/16 2:59,56.7
1/1/16 3:59,59
1/1/16 4:59,60.8
1/1/16 5:59,63.1
1/1/16 6:59,62.1
1/1/16 7:59,62.7
1/1/16 8:59,44.6
1/1/16 9:59,40.2
1/1/16 10:59,38.2
1/1/16 11:59,37.4
1/1/16 12:59,38.4
1/1/16 13:59,39.5
1/1/16 14:59,40.1
1/1/16 15:59,46.5
1/1/16 16:59,58.9
1/1/16 17:59,73
1/1/16 18:59,72
1/1/16 19:59,71.5
1/1/16 20:59,70.1
1/1/16 21:59,69.1
1/1/16 22:59,66.7
1/1/16 23:59,65.5
1/2/16 0:59,60.4
1/2/16 1:59,58.6
1/2/16 2:59,58.7
1/2/16 3:59,61.8
1/2/16 4:59,61.3
1/2/16 5:59,61.1
1/2/16 6:59,61.3
1/2/16 7:59,63.8
1/2/16 8:59,45.8
1/2/16 9:59,39
1/2/16 10:59,38.2
1/2/16 11:59,36.9
1/2/16 12:59,36.5
1/2/16 13:59,38.6
1/2/16 14:59,39.2
1/2/16 15:59,43
1/2/16 16:59,57.3
1/2/16 17:59,71
1/2/16 18:59,72.8
1/2/16 19:59,71.3
1/2/16 20:59,71
1/2/16 21:59,64.5
1/2/16 22:59,64.5
1/2/16 23:59,59.9
1/3/16 0:59,61.2
1/3/16 1:59,58.3
1/3/16 2:59,57.3
1/3/16 3:59,60.3
1/3/16 4:59,60.8
1/3/16 5:59,63.5
1/3/16 6:59,58.1
1/3/16 7:59,65.3
1/3/16 8:59,64.3
1/3/16 9:59,60
1/3/16 10:59,56.4
1/3/16 11:59,61.7
1/3/16 12:59,59.3
1/3/16 13:59,62.8
1/3/16 14:59,65.4
1/3/16 15:59,67.1
1/3/16 16:59,63.8
1/3/16 17:59,64.7
1/3/16 18:59,64.1
1/3/16 19:59,63.9
1/3/16 20:59,63.6
1/3/16 21:59,60.3
1/3/16 22:59,60.1
1/3/16 23:59,58.5
1/4/16 0:59,59.2
1/4/16 1:59,57.9
1/4/16 2:59,56.4
1/4/16 3:59,56.3
1/4/16 4:59,57.7
1/4/16 5:59,58.5
1/4/16 6:59,58.8
1/4/16 7:59,61.8
1/4/16 8:59,45.1
1/4/16 9:59,38.4
1/4/16 10:59,37.5
1/4/16 11:59,40.4
1/4/16 12:59,39.8
1/4/16 13:59,39.6
1/4/16 14:59,42.1
1/4/16 15:59,51.9
1/4/16 16:59,67.2
1/4/16 17:59,67.5
1/4/16 18:59,68.9
1/4/16 19:59,68.2
1/4/16 20:59,66.9
1/4/16 21:59,65.8
1/4/16 22:59,64.1
1/4/16 23:59,60.3
1/5/16 0:59,58.3
1/5/16 1:59,55.5
1/5/16 2:59,58.1
1/5/16 3:59,60.1
1/5/16 4:59,63.4
1/5/16 5:59,63.4
1/5/16 6:59,61.6
1/5/16 7:59,61.3
1/5/16 8:59,64.2
1/5/16 9:59,57.9
1/5/16 10:59,52.7
1/5/16 11:59,53.5
1/5/16 12:59,50.7
1/5/16 13:59,48.1
1/5/16 14:59,54.2
1/5/16 15:59,58.8
1/5/16 16:59,68.8
1/5/16 17:59,68.8
1/5/16 18:59,71.8
1/5/16 19:59,69.5
1/5/16 20:59,67.6
1/5/16 21:59,65.7
1/5/16 22:59,63.9
1/5/16 23:59,61.1
1/6/16 0:59,62.5
1/6/16 1:59,58.8
1/6/16 2:59,60.9
1/6/16 3:59,61.8
1/6/16 4:59,62.6
1/6/16 5:59,65.2
1/6/16 6:59,61.6
1/6/16 7:59,65.5
1/6/16 8:59,56.9
1/6/16 9:59,48.2
1/6/16 10:59,48.4
1/6/16 11:59,54
1/6/16 12:59,59.2
1/6/16 13:59,60.3
1/6/16 14:59,58.6
1/6/16 15:59,60.6
1/6/16 16:59,66.1
1/6/16 17:59,68.7
1/6/16 18:59,70.9
1/6/16 19:59,71.1
1/6/16 20:59,70.9
1/6/16 21:59,68.4
1/6/16 22:59,65.2
1/6/16 23:59,63.7
1/7/16 0:59,60.4
1/7/16 1:59,59.8
1/7/16 2:59,61.5
1/7/16 3:59,61.6
1/7/16 4:59,63.3
1/7/16 5:59,62.8
1/7/16 6:59,64
1/7/16 7:59,66.4
1/7/16 8:59,70
1/7/16 9:59,62.7
1/7/16 10:59,52.4
1/7/16 11:59,53
1/7/16 12:59,48.1
1/7/16 13:59,48.1
1/7/16 14:59,51.3
1/7/16 15:59,57.8
1/7/16 16:59,67.6
1/7/16 17:59,73.2
1/7/16 18:59,73.8
1/7/16 19:59,70.2
1/7/16 20:59,69.6
1/7/16 21:59,67.5
1/7/16 22:59,68.6
1/7/16 23:59,84.6
1/8/16 0:59,81.2
1/8/16 1:59,82.4
1/8/16 2:59,81.1
1/8/16 3:59,83.1
1/8/16 4:59,86
1/8/16 5:59,65.8
1/8/16 6:59,80.2
1/8/16 7:59,82.6
1/8/16 8:59,45.6
1/8/16 9:59,41.4
1/8/16 10:59,41.9
1/8/16 11:59,41
1/8/16 12:59,41.6
1/8/16 13:59,42.4
1/8/16 14:59,42.9
1/8/16 15:59,42.6
1/8/16 16:59,58.1
1/8/16 17:59,72
1/8/16 18:59,76.1
1/8/16 19:59,74.9
1/8/16 20:59,74.3
1/8/16 21:59,68.1
1/8/16 22:59,64.5
1/8/16 23:59,62.5
1/9/16 0:59,62.9
1/9/16 1:59,60.4
1/9/16 2:59,61.8
1/9/16 3:59,65.5
1/9/16 4:59,64.4
1/9/16 5:59,64.2
1/9/16 6:59,60.2
1/9/16 7:59,63.3
1/9/16 8:59,60.6
1/9/16 9:59,51.5
1/9/16 10:59,44.7
1/9/16 11:59,47.9
1/9/16 12:59,45.7
1/9/16 13:59,44.7
1/9/16 14:59,47.9
1/9/16 15:59,49.4
1/9/16 16:59,65.8
1/9/16 17:59,68.3
1/9/16 18:59,70
1/9/16 19:59,70.2
1/9/16 20:59,67.3
1/9/16 21:59,63
1/9/16 22:59,62.7
1/9/16 23:59,57.6
1/10/16 0:59,56
1/10/16 1:59,54.6
1/10/16 2:59,57
1/10/16 3:59,58
1/10/16 4:59,56.9
1/10/16 5:59,59.5
1/10/16 6:59,58.3
1/10/16 7:59,59.1
1/10/16 8:59,45.1
1/10/16 9:59,38.5
1/10/16 10:59,39.8
1/10/16 11:59,40.3
1/10/16 12:59,45.1
1/10/16 13:59,46.7
1/10/16 14:59,43.4
1/10/16 15:59,43.7
1/10/16 16:59,62.3
1/10/16 17:59,67.9
1/10/16 18:59,72.3
1/10/16 19:59,68.6
1/10/16 20:59,70.1
1/10/16 21:59,64.7
1/10/16 22:59,67
1/10/16 23:59,63.1
1/11/16 0:59,63.1
1/11/16 1:59,60.9
1/11/16 2:59,62.4
1/11/16 3:59,62.2
1/11/16 4:59,62.7
1/11/16 5:59,67.1
1/11/16 6:59,64.6
1/11/16 7:59,64
1/11/16 8:59,81.4
1/11/16 9:59,55
1/11/16 10:59,47.9
1/11/16 11:59,49.5
1/11/16 12:59,48.7
1/11/16 13:59,56.4
1/11/16 14:59,63.2
1/11/16 15:59,65.7
1/11/16 16:59,68.4
1/11/16 17:59,67
1/11/16 18:59,69.1
1/11/16 19:59,68.1
1/11/16 20:59,66
1/11/16 21:59,62
1/11/16 22:59,62.5
1/11/16 23:59,60.1
1/12/16 0:59,62.6
1/12/16 1:59,56.8
1/12/16 2:59,58.4
1/12/16 3:59,59.2
1/12/16 4:59,59.1
1/12/16 5:59,59.5
1/12/16 6:59,56.8
1/12/16 7:59,59.7
1/12/16 8:59,57.4
1/12/16 9:59,50.7
1/12/16 10:59,44.5
1/12/16 11:59,44.3
1/12/16 12:59,46.9
1/12/16 13:59,46.3
1/12/16 14:59,45.9
1/12/16 15:59,44.6
1/12/16 16:59,55.7
1/12/16 17:59,71.6
1/12/16 18:59,72.3
1/12/16 19:59,70.5
1/12/16 20:59,69.9
1/12/16 21:59,67.8
1/12/16 22:59,66.4
1/12/16 23:59,63.7
1/13/16 0:59,63.7
1/13/16 1:59,61.7
1/13/16 2:59,60.1
1/13/16 3:59,61.7
1/13/16 4:59,61.8
1/13/16 5:59,63.6
1/13/16 6:59,60.3
1/13/16 7:59,60.2
1/13/16 8:59,46.6
1/13/16 9:59,39.9
1/13/16 10:59,38.6
1/13/16 11:59,38.9
1/13/16 12:59,37.1
1/13/16 13:59,39.1
1/13/16 14:59,39.4
1/13/16 15:59,41.6
1/13/16 16:59,44.8
1/13/16 17:59,69.9
1/13/16 18:59,73.1
1/13/16 19:59,74.1
1/13/16 20:59,71
1/13/16 21:59,71.2
1/13/16 22:59,69.8
1/13/16 23:59,66.2
1/14/16 0:59,66.9
1/14/16 1:59,62.7
1/14/16 2:59,63.7
1/14/16 3:59,65.6
1/14/16 4:59,64.6
1/14/16 5:59,65.5
1/14/16 6:59,63.5
1/14/16 7:59,57.9
1/14/16 8:59,58.3
1/14/16 9:59,53.1
1/14/16 10:59,48.4
1/14/16 11:59,49
1/14/16 12:59,47.5
1/14/16 13:59,49.8
1/14/16 14:59,50.7
1/14/16 15:59,51.5
1/14/16 16:59,50.1
1/14/16 17:59,62.3
1/14/16 18:59,67.9
1/14/16 19:59,66.5
1/14/16 20:59,69.4
1/14/16 21:59,66.4
1/14/16 22:59,63
1/14/16 23:59,60.6
1/15/16 0:59,63.7
1/15/16 1:59,57.8
1/15/16 2:59,58.6
1/15/16 3:59,58.7
