utility,utility_tariff_name,bill_start_date,bill_end_date,bill_days,bill_statement_date,bill_total_kWh,bill_total,updated,bill_volume,bill_total_unit
PG&E,G1 T Residential Service,9/1/17,9/18/17,18,9/19/17,,13.58,2017-11-01T16:39:13.465780+00:00,10.125,therms
PG&E,G1 T Residential Service,8/18/17,8/31/17,14,9/19/17,,11.03,2017-11-01T16:39:13.415712+00:00,7.875,therms
PG&E,G1 T Residential Service,8/1/17,8/17/17,17,8/18/17,,13.49,2017-11-01T16:39:36.573017+00:00,9.63333,therms
PG&E,G1 T Residential Service,7/19/17,7/31/17,13,8/18/17,,10.25,2017-11-01T16:39:36.522795+00:00,7.36667,therms
PG&E,G1 T Residential Service,6/1/17,6/16/17,16,6/18/17,,13.34,2017-11-01T16:39:53.250028+00:00,9.06667,therms
PG&E,G1 T Residential Service,5/18/17,5/31/17,14,6/18/17,,11.74,2017-11-01T16:39:53.199655+00:00,7.93333,therms
PG&E,G1 T Residential Service,5/1/17,5/17/17,17,5/18/17,,16.48,2017-11-01T16:40:00.593871+00:00,11.13793,therms
PG&E,G1 T Residential Service,4/19/17,4/30/17,12,5/18/17,,11.82,2017-11-01T16:40:00.531024+00:00,7.86207,therms
PG&E,G1 T Residential Service,4/1/17,4/18/17,18,4/19/17,,24.43,2017-11-01T16:40:08.050804+00:00,15.1875,therms
PG&E,G1 T Residential Service,3/18/17,3/31/17,14,4/19/17,,17.51,2017-11-01T16:40:07.984781+00:00,11.8125,therms
PG&E,G1 T Residential Service,3/1/17,3/17/17,17,3/19/17,,36.96,2017-11-01T16:40:14.912928+00:00,24.93333,therms
PG&E,G1 T Residential Service,2/16/17,2/28/17,13,3/19/17,,29.1,2017-11-01T16:40:14.852935+00:00,19.06667,therms
PG&E,G1 T Residential Service,2/1/17,2/15/17,15,2/16/17,,30.77,2017-11-01T16:40:22.016085+00:00,20.17241,therms
PG&E,G1 T Residential Service,1/18/17,1/31/17,14,2/16/17,,28.95,2017-11-01T16:40:21.946456+00:00,18.82759,therms
PG&E,G1 T Residential Service,1/1/17,1/17/17,17,1/18/17,,37.23,2017-11-01T16:41:36.890403+00:00,24.21212,therms
PG&E,G1 T Residential Service,12/16/16,12/31/16,16,1/18/17,,35.7,2017-11-01T16:41:36.829523+00:00,22.78788,therms
PG&E,G1 T Residential Service,12/1/16,12/15/16,15,12/16/16,,24.31,2017-11-01T16:40:37.887844+00:00,15.51724,therms
PG&E,G1 T Residential Service,11/17/16,11/30/16,14,12/16/16,,23.7,2017-11-01T16:40:37.834752+00:00,14.48276,therms
PG&E,G1 T Residential Service,11/1/16,11/16/16,16,11/17/16,,16.57,2017-11-01T16:40:45.183632+00:00,10.13333,therms
PG&E,G1 T Residential Service,10/18/16,10/31/16,14,11/17/16,,13.81,2017-11-01T16:40:45.128267+00:00,8.86667,therms
PG&E,G1 T Residential Service,10/1/16,10/17/16,17,10/18/16,,17.94,2017-11-01T16:40:52.197174+00:00,11.51613,therms
PG&E,G1 T Residential Service,9/17/16,9/30/16,14,10/18/16,,13.86,2017-11-01T16:40:52.135024+00:00,9.48387,therms
PG&E,G1 T Residential Service,9/1/16,9/16/16,16,9/18/16,,12.47,2017-11-01T16:42:56.463749+00:00,8.53333,therms
PG&E,G1 T Residential Service,8/18/16,8/31/16,14,9/18/16,,11.03,2017-11-01T16:42:56.408847+00:00,7.46667,therms
PG&E,G1 T Residential Service,8/1/16,8/17/16,17,8/18/16,,18.87,2017-11-01T16:43:03.581292+00:00,12.46667,therms
PG&E,G1 T Residential Service,7/19/16,7/31/16,13,8/18/16,,12.42,2017-11-01T16:43:03.486060+00:00,9.53333,therms
PG&E,G1 T Residential Service,7/1/16,7/18/16,18,7/19/16,,15.73,2017-11-01T16:43:10.514096+00:00,12.375,therms
PG&E,G1 T Residential Service,6/17/16,6/30/16,14,7/19/16,,11.59,2017-11-01T16:43:10.447185+00:00,9.625,therms
PG&E,G1 T Residential Service,6/1/16,6/16/16,16,6/17/16,,15.42,2017-11-01T16:42:07.577607+00:00,12.26667,therms
PG&E,G1 T Residential Service,5/18/16,5/31/16,14,6/17/16,,14.15,2017-11-01T16:42:07.517571+00:00,10.73333,therms
PG&E,G1 T Residential Service,5/1/16,5/17/16,17,5/18/16,,16.93,2017-11-01T16:42:14.595331+00:00,12.89655,therms
PG&E,G1 T Residential Service,4/19/16,4/30/16,12,5/18/16,,11.65,2017-11-01T16:42:14.537058+00:00,9.10345,therms
PG&E,G1 T Residential Service,4/1/16,4/18/16,18,4/19/16,,20.17,2017-11-01T16:42:31.092020+00:00,15.1875,therms
PG&E,G1 T Residential Service,3/18/16,3/31/16,14,4/19/16,,13.52,2017-11-01T16:42:31.022100+00:00,11.8125,therms
PG&E,G1 T Residential Service,3/1/16,3/17/16,17,3/18/16,,15.43,2017-11-01T16:42:38.000591+00:00,13.48276,therms
PG&E,G1 T Residential Service,2/18/16,2/29/16,12,3/18/16,,13.64,2017-11-01T16:42:37.937718+00:00,9.51724,therms
PG&E,G1 T Residential Service,1/1/16,1/15/16,15,1/17/16,,31.48,2017-11-01T16:43:26.480283+00:00,22.5,therms
PG&E,G1 T Residential Service,12/17/15,12/31/15,15,1/17/16,,29.95,2017-11-01T16:43:26.417600+00:00,22.5,therms
