utility,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,updated,interval_timezone
PG&E,E1 TB Residential Service,10/27/17 23:00,10/28/17 0:00,0.38,0.38,2017-10-29T19:11:34.477499+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 22:00,10/27/17 23:00,0.6,0.6,2017-10-29T19:11:34.468895+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 21:00,10/27/17 22:00,0.44,0.44,2017-10-29T19:11:34.472780+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 20:00,10/27/17 21:00,0.38,0.38,2017-10-29T19:11:34.470859+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 19:00,10/27/17 20:00,0.32,0.32,2017-10-29T19:11:34.482147+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 18:00,10/27/17 19:00,0.26,0.26,2017-10-29T19:11:34.470914+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 17:00,10/27/17 18:00,0.11,0.11,2017-10-29T19:11:34.475159+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 16:00,10/27/17 17:00,0.17,0.17,2017-10-29T19:11:34.474678+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 15:00,10/27/17 16:00,0.11,0.11,2017-10-29T19:11:34.482089+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 14:00,10/27/17 15:00,0.17,0.17,2017-10-29T19:11:34.477266+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 13:00,10/27/17 14:00,0.11,0.11,2017-10-29T19:11:34.469641+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 12:00,10/27/17 13:00,0.17,0.17,2017-10-29T19:11:34.473130+00:00,US/Pacific
PG&E,E1 TB Residential Service,10/27/17 11:00,10/27/17 12:00,0.13,0.13,2017-10-29T19:11:34.470691+00:00,US/Pacific
